bigartm.exe --write-scores scores.txt --use-batches pubmed --use-dictionary pubmed.dict --score "perplexity !pubmed.dict" sparsitytheta sparsityphi peakmemory --topics 1000 --time-limit 18000000
Iteration;Time(ms);perplexity !pubmed.dict;sparsitytheta;sparsityphi;peakmemory
12;1067233;473.38055281398141;0.94263765512195119;0.94824028133264326;4992864256
13;1068378;471.9505059083483;0.94397256560975606;0.96310591096332321;4992864256
14;1065071;470.80023266314294;0.94546229304878049;0.97216967166041557;4992864256
15;1065107;469.95164778471201;0.94597059890243906;0.97816692072630329;5029466112
16;1065856;469.16340951690682;0.94637196621951225;0.98235577093510484;5029466112
17;1069268;468.54533308276859;0.9466686187804878;0.985418326326014;5029466112
bigartm.exe --write-scores scores.txt --use-batches pubmed --use-dictionary pubmed.dict --score "perplexity !pubmed.dict" sparsitytheta sparsityphi peakmemory --topics 1000 --time-limit 18000000 --kappa 0.5 --tau0 64 --update-every 24 --async
Iteration;Time(ms);perplexity !pubmed.dict;sparsitytheta;sparsityphi;peakmemory
1;4046741;2239.7233847481803;0.0063797495121951219;1.4180072743773176e-008;8751980544
2;4353388;685.77740438449348;0.18168537243902438;8.8625454648582343e-007;8782356480
3;3868148;566.76624721111625;0.54414101926829272;1.8767326276383798e-005;8782356480
4;3963129;526.16627313339177;0.74649486756097561;0.00026489084889005481;8782356480
5;4163239;506.20272125897731;0.84117766182926834;0.00285384599022993;8782356480
bigartm.exe --write-scores scores.txt --use-batches pubmed --use-dictionary pubmed.dict --score "perplexity !pubmed.dict" sparsitytheta sparsityphi peakmemory --topics 1000 --time-limit 18000000 --kappa 0.5 --tau0 64 --update-every 24 --model-v06
Iteration;Time(ms);perplexity !pubmed.dict;sparsitytheta;sparsityphi;peakmemory
1;4758536;2752.9740757829486;0.0030066063414634146;1.4180072743773176e-008;14234251264
2;4734854;732.87166517134222;0.12289424085365853;5.4593280063526731e-007;14247706624
3;5541122;582.41380776959181;0.47235383597560976;1.1400778485993633e-005;14432301056
4;7078128;534.76204857949006;0.72057112743902441;0.00016494260615556957;14432301056
